Task,Mode,Participant,Run time,Created at,Robot count
robot_positioning,default,8472fb1b06053dce6f92a0afa9b9e04d,69.423,2013-08-13 18:31:41 UTC,2,""
maze_positioning,default,bb1531897c95df154f11d780911e482d,386.646,2013-08-13 22:42:43 UTC,161,""
maze_positioning,default,3f616c7a99aa8890b7934687166a459f,337.792,2013-08-13 23:15:00 UTC,473,""
varying_control,attractive,3f616c7a99aa8890b7934687166a459f,209.217,2013-08-13 23:19:39 UTC,16,""
varying_visualization,mean,3f616c7a99aa8890b7934687166a459f,210.117,2013-08-13 23:23:29 UTC,100,""
robot_positioning,default,3f616c7a99aa8890b7934687166a459f,26.264,2013-08-13 23:31:48 UTC,6,""
maze_positioning,default,b25a6ea399e4f95009ac61b82b533b94,344.424,2013-08-14 02:59:22 UTC,247,""
varying_control,repulsive,b25a6ea399e4f95009ac61b82b533b94,196.337,2013-08-14 03:03:24 UTC,16,""
varying_visualization,convex-hull,b25a6ea399e4f95009ac61b82b533b94,231.739,2013-08-14 03:07:52 UTC,100,""
maze_positioning,default,bb1531897c95df154f11d780911e482d,113.319,2013-08-14 03:48:17 UTC,91,""
varying_control,attractive,bb1531897c95df154f11d780911e482d,35.687,2013-08-14 03:54:27 UTC,16,""
varying_control,global,bb1531897c95df154f11d780911e482d,118.328,2013-08-14 03:57:45 UTC,16,""
robot_positioning,default,bb1531897c95df154f11d780911e482d,58.516,2013-08-14 04:01:38 UTC,2,""
robot_positioning,default,bb1531897c95df154f11d780911e482d,225.11,2013-08-14 04:05:34 UTC,6,""
robot_positioning,default,bb1531897c95df154f11d780911e482d,230.673,2013-08-14 04:10:32 UTC,9,""
robot_positioning,default,bb1531897c95df154f11d780911e482d,4.433,2013-08-14 04:10:50 UTC,1,""
varying_visualization,full-state,bb1531897c95df154f11d780911e482d,168.578,2013-08-14 04:16:02 UTC,100,""
varying_visualization,convex-hull,bb1531897c95df154f11d780911e482d,132.919,2013-08-14 04:18:24 UTC,100,""
varying_visualization,mean,bb1531897c95df154f11d780911e482d,119.875,2013-08-14 04:20:40 UTC,100,""
maze_positioning,default,cdd6dd97448e03cf313f06de028c3966,333.795,2013-08-14 12:59:43 UTC,208,""
robot_positioning,default,cdd6dd97448e03cf313f06de028c3966,11.173,2013-08-14 13:08:49 UTC,1,""
maze_positioning,default,d24b53ba37be6fbd9015f5eec0c92a85,651.279,2013-08-14 15:39:12 UTC,401,""
maze_positioning,default,461f888afa11842de0c344054943dd2f,160.513,2013-08-14 16:48:28 UTC,192,""
maze_positioning,default,461f888afa11842de0c344054943dd2f,244.442,2013-08-14 16:52:58 UTC,418,""
varying_control,global,461f888afa11842de0c344054943dd2f,149.207,2013-08-14 16:56:00 UTC,16,""
varying_control,global,461f888afa11842de0c344054943dd2f,83.094,2013-08-14 16:57:37 UTC,16,""
varying_visualization,mean,461f888afa11842de0c344054943dd2f,123.297,2013-08-14 17:00:01 UTC,100,""
varying_visualization,full-state,461f888afa11842de0c344054943dd2f,92.232,2013-08-14 17:02:27 UTC,100,""
varying_visualization,convex-hull,461f888afa11842de0c344054943dd2f,115.195,2013-08-14 17:04:30 UTC,100,""
robot_positioning,default,461f888afa11842de0c344054943dd2f,86.194,2013-08-14 17:06:16 UTC,5,""
robot_positioning,default,815c11cbb941d114c0b9aa215e8a274d,38.294,2013-08-14 22:16:18 UTC,5,""
robot_positioning,default,815c11cbb941d114c0b9aa215e8a274d,6.283,2013-08-14 22:16:41 UTC,2,""
robot_positioning,default,815c11cbb941d114c0b9aa215e8a274d,2.239,2013-08-14 22:16:48 UTC,1,""
robot_positioning,default,815c11cbb941d114c0b9aa215e8a274d,83.727,2013-08-14 22:18:16 UTC,10,""
robot_positioning,default,815c11cbb941d114c0b9aa215e8a274d,7.781,2013-08-14 22:19:02 UTC,2,""
varying_control,repulsive,bb1531897c95df154f11d780911e482d,567.652,2013-08-14 23:31:02 UTC,16,""
robot_positioning,default,bb1531897c95df154f11d780911e482d,14.468,2013-08-15 00:37:15 UTC,3,""
robot_positioning,default,bb1531897c95df154f11d780911e482d,19.05,2013-08-15 02:11:59 UTC,2,""
robot_positioning,default,bb1531897c95df154f11d780911e482d,55.881,2013-08-15 02:13:31 UTC,4,""
robot_positioning,default,bb1531897c95df154f11d780911e482d,12.641,2013-08-15 02:15:07 UTC,4,""
robot_positioning,default,bb1531897c95df154f11d780911e482d,3.476,2013-08-15 02:15:44 UTC,1,""
robot_positioning,default,bb1531897c95df154f11d780911e482d,12.849,2013-08-15 02:16:24 UTC,2,""
robot_positioning,default,bb1531897c95df154f11d780911e482d,3.501,2013-08-15 02:16:37 UTC,1,""
robot_positioning,default,bb1531897c95df154f11d780911e482d,16.509,2013-08-15 02:19:27 UTC,3,""
robot_positioning,default,bb1531897c95df154f11d780911e482d,3.385,2013-08-15 02:19:46 UTC,1,""
robot_positioning,default,bb1531897c95df154f11d780911e482d,9.924,2013-08-15 02:20:18 UTC,2,""
robot_positioning,default,bb1531897c95df154f11d780911e482d,44.797,2013-08-15 02:22:17 UTC,4,""
maze_positioning,default,bb1531897c95df154f11d780911e482d,307.108,2013-08-15 02:33:02 UTC,392,""
varying_visualization,full-state,bb1531897c95df154f11d780911e482d,97.894,2013-08-15 02:35:53 UTC,100,""
varying_visualization,full-state,bb1531897c95df154f11d780911e482d,158.604,2013-08-15 02:39:39 UTC,100,""
maze_positioning,default,bb1531897c95df154f11d780911e482d,88.857,2013-08-15 02:42:42 UTC,39,""
maze_positioning,default,bb1531897c95df154f11d780911e482d,325.125,2013-08-15 02:48:27 UTC,136,""
robot_positioning,default,bb1531897c95df154f11d780911e482d,26.817,2013-08-15 02:53:53 UTC,4,""
robot_positioning,default,bb1531897c95df154f11d780911e482d,1.816,2013-08-15 02:54:11 UTC,1,""
robot_positioning,default,bb1531897c95df154f11d780911e482d,2.905,2013-08-15 02:54:21 UTC,1,""
maze_positioning,default,bc13608e8ff98bb1bb25089e67736dad,217.98,2013-08-15 05:32:05 UTC,318,""
varying_visualization,mean,bc13608e8ff98bb1bb25089e67736dad,147.458,2013-08-15 05:38:21 UTC,100,""
robot_positioning,default,bc13608e8ff98bb1bb25089e67736dad,35.578,2013-08-15 05:42:34 UTC,2,""
maze_positioning,default,bc13608e8ff98bb1bb25089e67736dad,405.098,2013-08-15 05:53:07 UTC,53,""
robot_positioning,default,bb1531897c95df154f11d780911e482d,58.3,2013-08-15 16:09:07 UTC,6,""
robot_positioning,default,bb1531897c95df154f11d780911e482d,8.187,2013-08-15 16:09:29 UTC,4,""
robot_positioning,default,bb1531897c95df154f11d780911e482d,6.635,2013-08-15 16:16:18 UTC,3,""
robot_positioning,default,bb1531897c95df154f11d780911e482d,8.558,2013-08-15 16:17:04 UTC,2,""
robot_positioning,default,bb1531897c95df154f11d780911e482d,2.914,2013-08-15 16:17:28 UTC,1,""
robot_positioning,default,fb841932d30944abfd9c6a170013e4f5,4.561,2013-08-16 08:28:22 UTC,1,""
robot_positioning,default,2d619aeaa7630333b7eb80f1c88a2c18,8.925,2013-08-16 22:44:27 UTC,3,""
pyramid_building,3.6,2d619aeaa7630333b7eb80f1c88a2c18,166.329,2013-08-16 22:47:49 UTC,8,""
varying_visualization,convex-hull,2d619aeaa7630333b7eb80f1c88a2c18,566.724,2013-08-17 04:02:15 UTC,100,""
robot_positioning,default,"",7.193,2013-08-19 16:01:45 UTC,3,""
robot_positioning,default,"",7.191,2013-08-19 16:02:12 UTC,4,""
robot_positioning,default,PADywXZAEF7sHEfXergbFw,5.065,2013-08-20 18:18:31 UTC,3,""
robot_positioning,default,Znynkj4X4yz3y4aZU5uLkQ,14.547,2013-08-20 19:30:01 UTC,4,""
maze_positioning,default,5b8LsmN7r855Sm23rErwKg,197.043,2013-08-20 20:27:22 UTC,24,""
maze_positioning,default,NIioUISzJi1U1aQKdGzdsw,124.466,2013-08-20 20:40:21 UTC,174,""
maze_positioning,default,NIioUISzJi1U1aQKdGzdsw,94.839,2013-08-20 20:42:23 UTC,41,""
maze_positioning,default,NIioUISzJi1U1aQKdGzdsw,107.724,2013-08-20 20:44:25 UTC,130,""
robot_positioning,default,NIioUISzJi1U1aQKdGzdsw,57.625,2013-08-20 20:46:18 UTC,6,""
robot_positioning,default,NIioUISzJi1U1aQKdGzdsw,8.823,2013-08-20 20:46:34 UTC,4,""
robot_positioning,default,NIioUISzJi1U1aQKdGzdsw,47.994,2013-08-20 20:47:27 UTC,5,""
robot_positioning,default,NIioUISzJi1U1aQKdGzdsw,1.248,2013-08-20 20:47:54 UTC,1,""
robot_positioning,default,NIioUISzJi1U1aQKdGzdsw,37.219,2013-08-20 20:48:36 UTC,7,""
varying_control,repulsive,NIioUISzJi1U1aQKdGzdsw,176.494,2013-08-20 20:52:16 UTC,16,""
varying_control,repulsive,NIioUISzJi1U1aQKdGzdsw,130.532,2013-08-20 20:54:34 UTC,16,""
varying_visualization,mean & variance,NIioUISzJi1U1aQKdGzdsw,83.611,2013-08-20 20:56:18 UTC,100,""
varying_visualization,mean & variance,NIioUISzJi1U1aQKdGzdsw,67.351,2013-08-20 20:57:47 UTC,100,""
varying_visualization,convex-hull,NIioUISzJi1U1aQKdGzdsw,199.089,2013-08-20 21:01:19 UTC,100,""
pyramid_building,0.4,NIioUISzJi1U1aQKdGzdsw,214.939,2013-08-20 21:05:48 UTC,8,""
pyramid_building,3.2,NIioUISzJi1U1aQKdGzdsw,192.674,2013-08-20 21:09:13 UTC,8,""
pyramid_building,9.1,NIioUISzJi1U1aQKdGzdsw,169.76,2013-08-20 21:12:29 UTC,8,""
maze_positioning,default,OhTCcEF2EJAyPp_9PDv6Zw,110.327,2013-08-21 19:14:39 UTC,82,""
robot_positioning,default,3r2Un75hG7BLfqaHZINMDg,7.111,2013-08-21 19:16:43 UTC,2,""
maze_positioning,default,L7xnEmgTlN-2p6dhU_daYA,116.013,2013-08-21 22:16:22 UTC,55,""
robot_positioning,default,3r2Un75hG7BLfqaHZINMDg,9.022,2013-08-22 02:28:58 UTC,4,""
robot_positioning,default,OhTCcEF2EJAyPp_9PDv6Zw,7.25,2013-08-22 05:00:47 UTC,2,""
robot_positioning,default,OhTCcEF2EJAyPp_9PDv6Zw,75.454,2013-08-22 05:02:10 UTC,10,""
maze_positioning,default,D5lpQ3eFGPkpmubny7giPA,201.511,2013-08-22 12:58:06 UTC,178,""
maze_positioning,default,D5lpQ3eFGPkpmubny7giPA,317.975,2013-08-22 13:04:08 UTC,395,""
varying_control,repulsive,D5lpQ3eFGPkpmubny7giPA,321.131,2013-08-22 13:12:00 UTC,16,""
varying_control,global,D5lpQ3eFGPkpmubny7giPA,253.026,2013-08-22 13:16:40 UTC,16,""
varying_control,attractive,D5lpQ3eFGPkpmubny7giPA,90.725,2013-08-22 13:20:28 UTC,16,""
varying_visualization,convex-hull,D5lpQ3eFGPkpmubny7giPA,105.844,2013-08-22 13:23:22 UTC,100,""
varying_visualization,mean & variance,D5lpQ3eFGPkpmubny7giPA,123.16,2013-08-22 13:25:51 UTC,100,""
varying_visualization,full-state,D5lpQ3eFGPkpmubny7giPA,83.064,2013-08-22 13:27:36 UTC,100,""
varying_visualization,mean,D5lpQ3eFGPkpmubny7giPA,70.002,2013-08-22 13:29:01 UTC,100,""
robot_positioning,default,D5lpQ3eFGPkpmubny7giPA,168.869,2013-08-22 13:33:32 UTC,10,""
robot_positioning,default,D5lpQ3eFGPkpmubny7giPA,12.769,2013-08-22 13:34:07 UTC,3,""
robot_positioning,default,D5lpQ3eFGPkpmubny7giPA,68.72,2013-08-22 13:36:04 UTC,7,""
robot_positioning,default,D5lpQ3eFGPkpmubny7giPA,18.463,2013-08-22 13:36:40 UTC,4,""
robot_positioning,default,D5lpQ3eFGPkpmubny7giPA,6.224,2013-08-22 13:36:58 UTC,4,""
varying_visualization,mean,rnVUaWncomKRuTSUwbogpA,117.261,2013-08-22 15:30:44 UTC,100,""
pyramid_building,0.5,ZzrYNazJqYX1sk7We-DF5w,346.455,2013-08-22 17:06:30 UTC,8,""
maze_positioning,default,laEPNmDxAZqfozXK4aVuqA,167.445,2013-08-22 18:07:04 UTC,171,""
maze_positioning,default,dT8pKv_TS4J-DnJgFsSirw,131.231,2013-08-22 20:43:01 UTC,85,""
varying_visualization,full-state,Mmkr1ORwLviTc-P2K5RS3Q,157.55,2013-08-23 02:34:28 UTC,100,""
robot_positioning,default,Mmkr1ORwLviTc-P2K5RS3Q,119.172,2013-08-23 02:38:41 UTC,5,""
robot_positioning,default,Mmkr1ORwLviTc-P2K5RS3Q,2.144,2013-08-23 02:39:01 UTC,1,""
robot_positioning,default,Mmkr1ORwLviTc-P2K5RS3Q,104.84,2013-08-23 02:40:54 UTC,9,""
robot_positioning,default,Mmkr1ORwLviTc-P2K5RS3Q,54.126,2013-08-23 02:43:56 UTC,5,""
robot_positioning,default,Mmkr1ORwLviTc-P2K5RS3Q,66.063,2013-08-23 02:49:01 UTC,8,""
varying_control,repulsive,Mmkr1ORwLviTc-P2K5RS3Q,53.681,2013-08-23 03:24:58 UTC,16,""
varying_control,repulsive,Mmkr1ORwLviTc-P2K5RS3Q,61.407,2013-08-23 03:26:28 UTC,16,""
varying_control,global,Mmkr1ORwLviTc-P2K5RS3Q,42.947,2013-08-23 03:27:42 UTC,16,""
pyramid_building,3.7,Mmkr1ORwLviTc-P2K5RS3Q,122.464,2013-08-23 03:35:15 UTC,8,""
maze_positioning,default,3r2Un75hG7BLfqaHZINMDg,75.509,2013-08-23 16:29:04 UTC,348,""
robot_positioning,default,3r2Un75hG7BLfqaHZINMDg,38.615,2013-08-23 16:29:55 UTC,5,""
pyramid_building,9.4,3r2Un75hG7BLfqaHZINMDg,398.602,2013-08-23 16:36:41 UTC,8,""
varying_visualization,mean & variance,3r2Un75hG7BLfqaHZINMDg,55.126,2013-08-23 16:37:47 UTC,100,""
varying_control,attractive,3r2Un75hG7BLfqaHZINMDg,58.577,2013-08-23 16:38:57 UTC,16,""
maze_positioning,default,3r2Un75hG7BLfqaHZINMDg,211.041,2013-08-23 16:42:39 UTC,7,""
varying_visualization,convex-hull,hZXrntqZcXpD7reDOze27A,92.835,2013-08-23 19:44:44 UTC,100,""
varying_control,repulsive,hZXrntqZcXpD7reDOze27A,76.855,2013-08-23 19:46:19 UTC,16,""
maze_positioning,default,hZXrntqZcXpD7reDOze27A,89.077,2013-08-23 19:49:43 UTC,42,""
maze_positioning,default,hZXrntqZcXpD7reDOze27A,34.865,2013-08-23 19:50:36 UTC,146,""
maze_positioning,default,hZXrntqZcXpD7reDOze27A,54.233,2013-08-23 19:51:36 UTC,396,""
maze_positioning,default,hZXrntqZcXpD7reDOze27A,30.561,2013-08-23 19:52:13 UTC,180,""
maze_positioning,default,hZXrntqZcXpD7reDOze27A,69.199,2013-08-23 19:53:29 UTC,385,""
varying_control,attractive,hZXrntqZcXpD7reDOze27A,176.606,2013-08-23 19:57:12 UTC,16,""
varying_visualization,full-state,QFF7FTFlPoWixjZyA90Phw,138.818,2013-08-23 20:06:46 UTC,100,""
pyramid_building,9.9,hZXrntqZcXpD7reDOze27A,227.223,2013-08-23 20:06:50 UTC,8,""
maze_positioning,default,kz-DZ0IFJoz3_zHN_xA9hg,50.802,2013-08-23 21:48:45 UTC,212,""
maze_positioning,default,kz-DZ0IFJoz3_zHN_xA9hg,53.595,2013-08-23 21:50:05 UTC,233,""
maze_positioning,default,HtwQvshU0Ss1f8yCgoXqRQ,82.348,2013-08-23 21:52:24 UTC,441,""
maze_positioning,default,3r2Un75hG7BLfqaHZINMDg,88.946,2013-08-24 13:26:41 UTC,129,""
robot_positioning,default,3r2Un75hG7BLfqaHZINMDg,67.077,2013-08-24 13:28:01 UTC,10,""
varying_visualization,full-state,3r2Un75hG7BLfqaHZINMDg,94.956,2013-08-24 13:30:22 UTC,100,""
varying_visualization,full-state,3r2Un75hG7BLfqaHZINMDg,124.767,2013-08-24 13:35:01 UTC,100,""
pyramid_building,9.6,D5lpQ3eFGPkpmubny7giPA,307.461,2013-08-25 02:48:49 UTC,8,""
varying_visualization,mean,wT_f_8XoVARLO16ItmyD8Q,206.738,2013-08-25 03:11:32 UTC,100,""
varying_visualization,full-state,JWcnHoqit1ee0UnSFAX3Ew,385.347,2013-08-25 15:45:08 UTC,100,""
varying_visualization,mean & variance,JWcnHoqit1ee0UnSFAX3Ew,330.473,2013-08-25 15:51:16 UTC,100,""
varying_visualization,mean & variance,i80wQOnWua32PJMSllaw8g,196.88,2013-08-26 14:15:42 UTC,100,""
robot_positioning,default,dYXEZgVlRWXxjmL6T4o3ng,3.19,2013-08-26 14:25:20 UTC,1,""
varying_visualization,full-state,YAFkwRfTfKILhkD4i4R1hA,87.711,2013-08-26 14:27:37 UTC,100,""
varying_control,attractive,YAFkwRfTfKILhkD4i4R1hA,53.588,2013-08-26 14:28:53 UTC,16,""
varying_visualization,full-state,6xlxs24ZIJLAaivP5unmeg,164.367,2013-08-26 14:31:24 UTC,100,""
varying_visualization,full-state,HscGth8JbK5UfuYPf1181Q,138.896,2013-08-26 14:31:47 UTC,100,""
varying_control,repulsive,jhScQ0QN8hQQKXEQtXSeMQ,150.602,2013-08-26 14:34:56 UTC,16,""
varying_visualization,full-state,Zfczu0NFyndU53wFsDh32w,120.667,2013-08-26 14:35:27 UTC,100,""
robot_positioning,default,Peg3B-NkDkkAnGGxbuu4Dg,11.994,2013-08-26 14:35:31 UTC,3,""
varying_visualization,full-state,R9ZvMfo3iln-2F1hR5PzGw,186.407,2013-08-26 14:37:45 UTC,100,""
maze_positioning,default,R1SD4ECl1LRq-dBYCShFBA,81.858,2013-08-26 14:38:47 UTC,235,""
varying_visualization,full-state,MTF2tlFprKag6cf4cjj8QQ,188.292,2013-08-26 14:39:28 UTC,100,""
maze_positioning,default,R1SD4ECl1LRq-dBYCShFBA,52.823,2013-08-26 14:40:04 UTC,196,""
varying_visualization,convex-hull,PUCfWokQp94aTmggXVKklg,362.7,2013-08-26 14:41:05 UTC,100,""
varying_control,attractive,PH8Bll1u27zSylkijRrsog,77.637,2013-08-26 14:41:10 UTC,16,""
maze_positioning,default,PH8Bll1u27zSylkijRrsog,84.444,2013-08-26 14:42:51 UTC,77,""
robot_positioning,default,PH8Bll1u27zSylkijRrsog,20.516,2013-08-26 14:43:27 UTC,3,""
varying_visualization,mean & variance,PH8Bll1u27zSylkijRrsog,101.072,2013-08-26 14:46:47 UTC,100,""
varying_visualization,full-state,VU3dZzyPPpnH3oCEVyZFWw,97.502,2013-08-26 14:46:49 UTC,100,""
varying_visualization,full-state,MBbBAHuTjm249UB2_HTjEA,114.496,2013-08-26 14:47:04 UTC,100,""
robot_positioning,default,fRCoPu6J6_op9SsYpTU_lg,16.695,2013-08-26 14:47:47 UTC,3,""
varying_visualization,mean & variance,cixZfbGDpSN-BKNNvIiVCQ,69.408,2013-08-26 14:48:23 UTC,100,""
robot_positioning,default,VU3dZzyPPpnH3oCEVyZFWw,16.172,2013-08-26 14:48:51 UTC,2,""
maze_positioning,default,4DVWRc9p8mNyE07mWc02Jw,318.651,2013-08-26 14:48:59 UTC,149,""
robot_positioning,default,VU3dZzyPPpnH3oCEVyZFWw,7.87,2013-08-26 14:49:04 UTC,3,""
maze_positioning,default,TMwxvdQzof-jkXsUik56vQ,105.572,2013-08-26 14:49:16 UTC,183,""
robot_positioning,default,VU3dZzyPPpnH3oCEVyZFWw,6.198,2013-08-26 14:49:34 UTC,3,""
varying_visualization,full-state,reHvFIulCO2XdLieDykOow,159.721,2013-08-26 14:49:39 UTC,100,""
robot_positioning,default,TMwxvdQzof-jkXsUik56vQ,6.746,2013-08-26 14:49:49 UTC,2,""
robot_positioning,default,VU3dZzyPPpnH3oCEVyZFWw,25.435,2013-08-26 14:50:06 UTC,8,""
maze_positioning,default,SHWkD7IK2DoMa6ywQCktng,134.955,2013-08-26 14:50:39 UTC,476,""
varying_visualization,full-state,tpUHh_zxmiup0E2bwxzoXg,175.153,2013-08-26 14:51:25 UTC,100,""
varying_control,attractive,teKEG79nmSK1f96PTfoowA,204.443,2013-08-26 14:52:24 UTC,16,""
varying_visualization,mean,b84LUaZifEYE3qyONaEauA,69.791,2013-08-26 14:52:26 UTC,100,""
maze_positioning,default,aLhayfCXUJDIogPWYKSEFw,119.774,2013-08-26 14:52:45 UTC,445,""
maze_positioning,default,4DVWRc9p8mNyE07mWc02Jw,193.048,2013-08-26 14:53:07 UTC,93,""
varying_visualization,convex-hull,b84LUaZifEYE3qyONaEauA,62.656,2013-08-26 14:53:43 UTC,100,""
maze_positioning,default,vJYqBsroC2f4Kpbqoid9Tg,122.257,2013-08-26 14:53:47 UTC,483,""
varying_visualization,full-state,1d_B8m9Ykf5Z0jWyQkymmA,88.703,2013-08-26 14:55:02 UTC,100,""
varying_visualization,full-state,b84LUaZifEYE3qyONaEauA,68.794,2013-08-26 14:55:08 UTC,100,""
varying_control,global,Oqj82vHCej5XyVN-1nsjaA,147.104,2013-08-26 14:55:19 UTC,16,""
varying_visualization,mean & variance,eXk0i0CMnHlb6NeXji_qww,165.558,2013-08-26 14:55:21 UTC,100,""
robot_positioning,default,BUxkP42uoaGkFQ-5GjndrQ,3.052,2013-08-26 14:55:57 UTC,1,""
maze_positioning,default,I9_8nUHosNyxHdIBdRWZag,71.64,2013-08-26 14:56:10 UTC,307,""
varying_visualization,convex-hull,L6OUZQ0dGtxaNkmfiIiD9w,291.678,2013-08-26 14:56:37 UTC,100,""
varying_visualization,mean & variance,zjP5lUNc85vhZ8GYi3jycA,62.253,2013-08-26 14:57:18 UTC,100,""
varying_visualization,mean & variance,Vtl7LxNj6W4-cdWZAxALew,232.758,2013-08-26 14:57:27 UTC,100,""
varying_visualization,full-state,MA1HC1e4ZW1kkr38XJCdlg,316.796,2013-08-26 14:59:27 UTC,100,""
robot_positioning,default,dpHw_7x0OlCzqSZHtMC9DA,3.945,2013-08-26 15:00:01 UTC,1,""
robot_positioning,default,Oqj82vHCej5XyVN-1nsjaA,4.288,2013-08-26 15:00:15 UTC,1,""
varying_control,global,b84LUaZifEYE3qyONaEauA,159.751,2013-08-26 15:00:44 UTC,16,""
maze_positioning,default,IC5v2XbewDUyLlOTrIMZWQ,53.886,2013-08-26 15:01:20 UTC,70,""
varying_visualization,full-state,myZjRqnXYfgY5bpv4XK1Dg,159.218,2013-08-26 15:02:09 UTC,100,""
maze_positioning,default,IC5v2XbewDUyLlOTrIMZWQ,49.05,2013-08-26 15:02:40 UTC,296,""
varying_visualization,convex-hull,uN25bWaIT9qL3vaAHg6i0g,143.022,2013-08-26 15:02:45 UTC,100,""
varying_visualization,mean,MA1HC1e4ZW1kkr38XJCdlg,185.902,2013-08-26 15:03:03 UTC,100,""
robot_positioning,default,SHWkD7IK2DoMa6ywQCktng,21.227,2013-08-26 14:52:40 UTC,4,""
varying_visualization,full-state,s-0CacBgr4ujcdJEQL6Brw,152.621,2013-08-26 14:52:43 UTC,100,""
varying_visualization,full-state,BN-AOS27ln8ApKs0So8vbQ,246.735,2013-08-26 14:53:05 UTC,100,""
maze_positioning,default,aLhayfCXUJDIogPWYKSEFw,57.687,2013-08-26 14:54:24 UTC,201,""
maze_positioning,default,teKEG79nmSK1f96PTfoowA,111.961,2013-08-26 14:54:50 UTC,433,""
varying_visualization,full-state,cixZfbGDpSN-BKNNvIiVCQ,116.792,2013-08-26 14:54:56 UTC,100,""
robot_positioning,default,BUxkP42uoaGkFQ-5GjndrQ,9.152,2013-08-26 14:57:01 UTC,4,""
varying_visualization,full-state,Apmd5X4P6axPK0h4exRkFQ,135.195,2013-08-26 14:57:45 UTC,100,""
varying_control,global,dpHw_7x0OlCzqSZHtMC9DA,79.635,2013-08-26 14:58:34 UTC,16,""
varying_visualization,full-state,2amqFPLh9wPHPjV19omsNA,150.972,2013-08-26 14:58:52 UTC,100,""
varying_visualization,full-state,5cec61xa7AqAWwtJc5uK9Q,120.718,2013-08-26 14:59:00 UTC,100,""
maze_positioning,default,Oqj82vHCej5XyVN-1nsjaA,211.84,2013-08-26 14:59:32 UTC,351,""
maze_positioning,default,dpHw_7x0OlCzqSZHtMC9DA,65.787,2013-08-26 14:59:51 UTC,287,""
varying_visualization,full-state,D5K2L7FxgfSr96YSl7U2aA,110.653,2013-08-26 15:00:22 UTC,100,""
maze_positioning,default,zjP5lUNc85vhZ8GYi3jycA,95.778,2013-08-26 15:01:33 UTC,448,""
varying_visualization,full-state,7lDYF3g0U9YfrWQ0wRfIrQ,92.268,2013-08-26 15:02:23 UTC,100,""
pyramid_building,2.3,Ld4txj1CqYHFFEK5-gGR1w,199.464,2013-08-26 15:02:27 UTC,8,""
varying_control,global,5cec61xa7AqAWwtJc5uK9Q,241.07,2013-08-26 15:03:29 UTC,16,""
varying_visualization,mean,o4Sivkr360bEi5hNPzaZxw,138.732,2013-08-26 15:05:08 UTC,100,""
varying_visualization,convex-hull,1Tqk0yg_braPcYi8arvbyw,159.172,2013-08-26 15:05:31 UTC,100,""
varying_visualization,convex-hull,MA1HC1e4ZW1kkr38XJCdlg,129.2,2013-08-26 15:05:33 UTC,100,""
varying_visualization,full-state,1tSUW6mgnw4Dmz9J70JmjA,164.046,2013-08-26 15:06:43 UTC,100,""
varying_visualization,mean & variance,1Tqk0yg_braPcYi8arvbyw,87.175,2013-08-26 15:07:21 UTC,100,""
varying_visualization,mean & variance,MA1HC1e4ZW1kkr38XJCdlg,104.688,2013-08-26 15:07:39 UTC,100,""
